app_name,review_text,rating,date,thumbs_up,cleaned_text,processed_text,vader_compound,vader_positive,vader_negative,vader_neutral,textblob_polarity,textblob_subjectivity,ensemble_score,sentiment_label
Microsoft Teams,Love the Office integration. Makes sharing files easy.,4,2024-06-26,98,love the office integration. makes sharing files easy.,love office integration make sharing file easy,0.872,0.664,0.0,0.336,0.4666666666666667,0.7166666666666667,0.6693333333333333,positive
Microsoft Teams,Call quality drops frequently. Very annoying during meetings.,2,2024-06-27,82,call quality drops frequently. very annoying during meetings.,call quality drop frequently very annoying meeting,-0.4576,0.0,0.3,0.7,-1.0,1.0,-0.7288,negative
Microsoft Teams,Best for large organizations. Feature-rich and powerful.,5,2024-06-28,19,best for large organizations. featurerich and powerful.,best large organization featurerich powerful,0.7906,0.583,0.0,0.417,0.5047619047619047,0.5761904761904763,0.6476809523809524,positive
Microsoft Teams,Mobile notifications don't work properly. Miss important messages.,2,2024-06-29,50,mobile notifications dont work properly. miss important messages.,mobile notification dont work properly miss important message,0.3058,0.351,0.0,0.649,0.2,0.55,0.2529,positive
Microsoft Teams,Excellent collaboration features for distributed teams.,4,2024-06-30,98,excellent collaboration features for distributed teams.,excellent collaboration feature distributed team,0.5719,0.425,0.0,0.575,1.0,1.0,0.7859499999999999,positive
Microsoft Teams,Takes too long to load. Performance issues need fixing.,2,2024-07-01,55,takes too long to load. performance issues need fixing.,take too long load performance issue need fixing,0.0,0.0,0.0,1.0,-0.05,0.4,-0.025,neutral
Microsoft Teams,Great for video conferencing. Screen sharing works perfectly.,5,2024-07-02,74,great for video conferencing. screen sharing works perfectly.,great video conferencing screen sharing work perfectly,0.9022,0.689,0.0,0.311,0.9,0.875,0.9011,positive
Microsoft Teams,User interface needs modernization. Feels outdated.,2,2024-07-03,66,user interface needs modernization. feels outdated.,user interface need modernization feel outdated,0.0,0.0,0.0,1.0,-0.4000000000000001,0.6333333333333334,-0.20000000000000004,negative
Microsoft Teams,Reliable platform for business communication. Very stable.,4,2024-07-04,35,reliable platform for business communication. very stable.,reliable platform business communication very stable,0.3597,0.294,0.0,0.706,0.2,0.3,0.27985000000000004,positive
Microsoft Teams,Chat organization is poor. Hard to find old messages.,3,2024-07-05,98,chat organization is poor. hard to find old messages.,chat organization poor hard find old message,-0.5423,0.0,0.391,0.609,-0.19722222222222222,0.4472222222222222,-0.3697611111111111,negative
Microsoft Teams,Best integration with SharePoint and OneDrive.,5,2024-07-06,77,best integration with sharepoint and onedrive.,best integration sharepoint onedrive,0.6369,0.457,0.0,0.543,1.0,0.3,0.81845,positive
Microsoft Teams,Pricing is reasonable for enterprise features offered.,4,2024-07-07,61,pricing is reasonable for enterprise features offered.,pricing reasonable enterprise feature offered,0.0,0.0,0.0,1.0,0.2,0.6,0.1,positive
Microsoft Teams,Audio quality issues during large meetings. Needs improvement.,2,2024-07-08,24,audio quality issues during large meetings. needs improvement.,audio quality issue large meeting need improvement,0.4588,0.3,0.0,0.7,0.21428571428571427,0.42857142857142855,0.33654285714285714,positive
Microsoft Teams,Fantastic for team collaboration and project management.,5,2024-07-09,39,fantastic for team collaboration and project management.,fantastic team collaboration project management,0.5574,0.375,0.0,0.625,0.4,0.9,0.4787,positive
Microsoft Teams,Background noise cancellation works amazingly well.,5,2024-07-10,32,background noise cancellation works amazingly well.,background noise cancellation work amazingly well,0.3384,0.324,0.0,0.676,0.6000000000000001,0.9,0.46920000000000006,positive
Zoom,Best video conferencing app. Crystal clear quality.,5,2024-07-11,3,best video conferencing app. crystal clear quality.,best video conferencing app crystal clear quality,0.7783,0.576,0.0,0.424,0.55,0.3416666666666667,0.66415,positive
Zoom,Easy to use even for non-technical people. Great UX.,5,2024-07-12,9,easy to use even for nontechnical people. great ux.,easy use even nontechnical people great,0.7906,0.5,0.0,0.5,0.6166666666666667,0.7916666666666667,0.7036333333333333,positive
Zoom,Security concerns after recent privacy issues. Worried.,2,2024-07-13,7,security concerns after recent privacy issues. worried.,security concern recent privacy issue worried,0.0516,0.25,0.229,0.521,0.0,0.25,0.0258,neutral
Zoom,Excellent for webinars and large meetings. Very stable.,5,2024-07-14,22,excellent for webinars and large meetings. very stable.,excellent webinars large meeting very stable,0.7346,0.508,0.0,0.492,0.47142857142857136,0.5761904761904763,0.6030142857142857,positive
Zoom,Free tier limitations are too restrictive for regular use.,2,2024-07-15,46,free tier limitations are too restrictive for regular use.,free tier limitation too restrictive regular use,0.5106,0.292,0.0,0.708,0.2,0.43846153846153846,0.35530000000000006,positive
Zoom,Virtual backgrounds work great. Fun and professional.,4,2024-07-16,23,virtual backgrounds work great. fun and professional.,virtual background work great fun professional,0.8126,0.597,0.0,0.403,0.4000000000000001,0.35000000000000003,0.6063000000000001,positive
Zoom,Connection drops frequently. Frustrating during important calls.,2,2024-07-17,84,connection drops frequently. frustrating during important calls.,connection drop frequently frustrating important call,-0.2732,0.186,0.299,0.515,0.0,0.95,-0.1366,negative
Zoom,Best screen sharing feature among all competitors.,5,2024-07-18,16,best screen sharing feature among all competitors.,best screen sharing feature among competitor,0.7906,0.583,0.0,0.417,1.0,0.3,0.8953,positive
Zoom,Recording feature is excellent for reviewing meetings later.,4,2024-07-19,93,recording feature is excellent for reviewing meetings later.,recording feature excellent reviewing meeting later,0.5719,0.346,0.0,0.654,0.5,0.5,0.5359499999999999,positive
Zoom,Mobile app is limited compared to desktop version.,3,2024-07-20,53,mobile app is limited compared to desktop version.,mobile app limited compared desktop version,-0.2263,0.0,0.213,0.787,-0.07142857142857142,0.14285714285714285,-0.14886428571428573,negative
Zoom,Breakout rooms feature is perfect for training sessions.,5,2024-07-21,59,breakout rooms feature is perfect for training sessions.,breakout room feature perfect training session,0.5719,0.346,0.0,0.654,1.0,1.0,0.7859499999999999,positive
Zoom,Interface is simple and intuitive. No learning curve.,4,2024-07-22,60,interface is simple and intuitive. no learning curve.,interface simple intuitive learning curve,-0.296,0.0,0.239,0.761,0.0,0.35714285714285715,-0.148,negative
Zoom,Audio echo issues during calls. Technical problems persist.,2,2024-07-23,49,audio echo issues during calls. technical problems persist.,audio echo issue call technical problem persist,-0.4019,0.0,0.278,0.722,0.0,0.1,-0.20095,negative
Zoom,Great for remote education. Teachers love using it.,5,2024-07-24,46,great for remote education. teachers love using it.,great remote education teacher love using,0.8519,0.58,0.0,0.42,0.4000000000000001,0.5166666666666666,0.62595,positive
Zoom,Battery drain is significant on mobile devices.,2,2024-07-25,66,battery drain is significant on mobile devices.,battery drain significant mobile device,0.2023,0.231,0.0,0.769,0.375,0.875,0.28865,positive
Zoom,Reliable for daily standup meetings. Never had issues.,4,2024-07-26,72,reliable for daily standup meetings. never had issues.,reliable daily standup meeting never issue,0.0,0.0,0.0,1.0,0.0,0.0,0.0,neutral
Zoom,Expensive for premium features. Not worth the cost.,2,2024-07-27,55,expensive for premium features. not worth the cost.,expensive premium feature not worth cost,-0.1695,0.0,0.192,0.808,-0.325,0.39999999999999997,-0.24725000000000003,negative
Zoom,Excellent support for large participant counts in meetings.,5,2024-07-28,46,excellent support for large participant counts in meetings.,excellent support large participant count meeting,0.7506,0.516,0.0,0.484,0.6071428571428571,0.7142857142857143,0.6788714285714286,positive
Zoom,Lag during peak hours. Performance degrades with usage.,2,2024-07-29,3,lag during peak hours. performance degrades with usage.,lag peak hour performance degrades usage,-0.6705,0.0,0.478,0.522,0.0,0.0,-0.33525,negative
Zoom,Perfect for hybrid work. Seamless experience across devices.,4,2024-07-30,48,perfect for hybrid work. seamless experience across devices.,perfect hybrid work seamless experience across device,0.5719,0.346,0.0,0.654,0.55,0.55,0.5609500000000001,positive
